,name,ra,dec,grade/score
79,J034021-253330,55.089043,-25.558367,1.00
80,J001916-413650,4.818033,-41.614051,1.00
81,J032711-324634,51.797294,-32.776155,1.00
82,J221859-451851,334.746758,-45.314441,0.97
83,J040821-284121,62.090172,-28.689265,0.95
84,J051047-263222,77.695997,-26.539526,1.00
85,J211243+000920,318.179744,0.155773,1.00
86,J224221+001144,340.589927,0.195764,0.97
87,J003822-255032,9.593161,-25.842242,0.97
88,J010826-262019,17.111823,-26.338700,0.90
89,J045352-502234,73.470734,-50.376374,1.00
0,J165710+315052,254.294217,31.847955,0.99
1,J115830+312349,179.62672,31.397025,0.79
2,J131730+564054,199.378529,56.68182,0.97
3,J143611+432921,219.046299,43.489219,0.98
4,J090728+423301,136.86744,42.550401,0.99
5,J113952+303204,174.968967,30.534686,0.99
6,J103148+434256,157.952047,43.715754,0.99
7,J174828+374539,267.120502,37.760876,0.99
8,J163522+510828,248.845539,51.141378,0.99
9,J143004+410557,217.517011,41.099238,0.98
10,J171340+364204,258.419705,36.701363,0.97
11,J021219+303310,33.082568,30.552995,0.99
12,J235527+325244,358.865775,32.879142,0.99
13,J153959+354954,234.999752,35.831739,0.98
14,J124548+375435,191.451962,37.909935,0.99
15,J095335+313238,148.399699,31.544166,0.99
16,J094411+322038,146.049312,32.344091,0.99
17,J165049+312328,252.706648,31.391165,0.99
18,J081959+535624,124.999119,53.940081,0.7
19,J090129+303355,135.371629,30.565434,0.87
20,J155923+314712,239.847219,31.786779,0.87
21,J155517+415138,238.823966,41.860723,0.99
22,J093542+303803,143.925535,30.63432,0.82
23,J124223+312905,190.598116,31.484828,0.99
24,J164940+304909,252.418703,30.819194,0.99
25,J112053+342146,170.22424,34.362826,0.99
26,J075346+341633,118.442572,34.276024,0.98
27,J075523+344539,118.847955,34.761005,0.99
28,J094819+373739,147.081482,37.627583,0.99
29,J144037+591141,220.155419,59.194928,0.94
30,J110219+334224,165.579915,33.706789,0.96
31,J091415+431855,138.564324,43.31547,0.99
32,J112901+311925,172.254715,31.323845,0.95
33,J143158+554329,217.995754,55.724873,0.64
34,J164753+511308,251.974251,51.219046,0.84
35,J104949+362926,162.455302,36.490762,0.85
36,J150036+551015,225.150662,55.170865,0.99
37,J115458+362005,178.741706,36.334761,0.99
38,J164822+332824,252.092057,33.473465,0.95
39,J082141+391539,125.422624,39.260887,0.6
40,J094931+343819,147.380711,34.638801,0.88
41,J113203+430718,173.014645,43.121823,0.92
42,J152414+502559,231.059906,50.433218,0.72
43,J141559+502742,213.997269,50.461768,0.82
44,J092056+404009,140.233516,40.669275,0.81
45,J154613+320732,236.55542,32.12574,0.76
46,J163115+324034,247.813118,32.676273,0.84
47,J080114+455838,120.309377,45.9774,0.96
48,J071431+543145,108.63086,54.529382,0.96
49,J232205+311448,350.521187,31.246802,0.97
50,J091952+390350,139.970218,39.064101,0.83
51,J001119+324635,2.83263,32.77663,0.99
52,J114114+414544,175.309537,41.762407,0.9
53,J021058+304423,32.744232,30.739869,0.98
54,J005359+340231,13.498377,34.042151,0.75
55,J085335+352650,133.397432,35.447405,0.99
56,J004211+362510,10.549333,36.419549,0.63
57,J121351+353334,183.466463,35.559484,0.84
58,J172451+532101,261.216655,53.35028,0.83
59,J164624+321352,251.600986,32.231342,0.75
60,J074144+311642,115.434351,31.27839,0.79
61,J165239+442135,253.165234,44.359909,0.92
62,J015835+325940,29.649733,32.994532,0.95
63,J124724+364403,191.85275,36.734418,0.51
64,J233812+301327,354.552069,30.224249,0.73
65,J131719+355859,199.329276,35.983279,0.94
66,J132126+323845,200.360122,32.645929,0.98
67,J171127+380843,257.863509,38.145351,0.86
68,J135131+520718,207.883099,52.121882,0.99
69,J083044+322708,127.685572,32.452379,0.96
70,J121959+340210,184.997596,34.036332,0.95
71,J101441+504451,153.67308,50.747535,0.98
72,J112035+325158,170.146207,32.866338,0.73
73,J020255+300539,30.732029,30.094366,0.53
74,J151250+510553,228.208395,51.098312,0.995
75,J154613+350448,236.555281,35.080241,0.95
76,J104233+362936,160.640653,36.49354,0.98
77,J163847+320109,249.696824,32.019203,0.84
78,J164433+503638,251.140747,50.610568,0.97
79,J154600+303600,236.503001,30.600112,0.86
80,J133645+495308,204.191213,49.885661,0.82
81,J152012+402157,230.051775,40.365852,0.93
82,J145432+584957,223.634534,58.832696,0.99
83,J091957+413848,139.990868,41.646885,0.99
84,J130530+321143,196.376255,32.195307,0.82
85,J073301+513431,113.256743,51.575494,0.98
86,J164700+315322,251.753434,31.889623,0.59
87,J175507+334318,268.781414,33.72189,0.56
88,J232225+341458,350.605096,34.249556,0.94
89,J112140+303748,170.420714,30.630111,0.95
90,J111018+351716,167.576918,35.287779,0.88
91,J145252+580240,223.220491,58.04453,0.99
92,J102147+500808,155.447437,50.135595,0.99
93,J130354+315655,195.97702,31.9487,0.69
94,J021336+301804,33.403042,30.301241,0.9
95,J182524+590228,276.351457,59.041283,0.77
96,J173658+305817,264.245714,30.971567,0.95
97,J082216+381337,125.570203,38.227187,0.69
98,J165643+535717,254.180951,53.954788,0.55
99,J182125+510038,275.357473,51.010559,0.89
100,J234747+341149,356.947866,34.196982,0.79
101,J150803+485728,227.013274,48.957797,0.55
102,J135800+492334,209.504125,49.392834,0.99
103,J090919+351503,137.330317,35.25094,0.99
104,J130259+300953,195.745854,30.164815,0.93
105,J120729+355838,181.87263,35.977381,0.83
106,J095505+303230,148.771722,30.541826,0.87
107,J071707+701827,109.279891,70.307512,0.78
108,J082055+533513,125.232609,53.587001,0.84
109,J120329+311304,180.874396,31.218011,0.92
110,J093114+300703,142.812224,30.117749,0.96
111,J160308+333036,240.786202,33.510113,0.99
112,J231403+335806,348.51442,33.968598,0.5
113,J171725+461830,259.357806,46.308496,0.99
114,J165911+371346,254.797098,37.22968,0.96
115,J120659+323602,181.749009,32.600781,0.88
116,J174744+391856,266.934787,39.315775,0.97
117,J135525+503250,208.857143,50.547389,0.98
118,J102618+414208,156.575959,41.702331,0.88
119,J164113+370415,250.304317,37.070838,0.99
120,J114609+395955,176.537956,39.998664,0.99
121,J151505+612848,228.771508,61.480081,0.97
122,J114050+322955,175.209408,32.498829,0.96
123,J100021+474746,150.090655,47.796124,0.99
124,J123129+302224,187.874467,30.37355,0.95
125,J162540+331556,246.4202,33.265777,0.81
126,J160903+335108,242.265886,33.852487,0.86
127,J011119+365506,17.832415,36.918446,0.97
128,J144129+601008,220.374691,60.169088,0.88
129,J100422+364821,151.093545,36.805996,0.73
130,J234324+305858,355.852619,30.982916,0.9
131,J165402+444252,253.51002,44.71453,0.98
132,J081258+305338,123.242546,30.894062,0.95
0,PS1J2226+0041,336.53749999999997,0.6950000000000001,3.0
1,PS1J1821+7130,275.4166666666667,71.50277777777778,3.0
2,PS1J1647+1117,251.76666666666665,11.296944444444444,3.0
3,PS1J1559+3147,239.8458333333333,31.78666666666667,3.0
4,PS1J1508-1652,227.04166666666663,-16.877222222222223,3.0
5,PS1J1421-0536,215.36666666666662,-5.614166666666667,3.0
6,PS1J1415+1112,213.87916666666663,11.202222222222222,3.0
7,PS1J1322-0501,200.61249999999998,-5.026111111111111,3.0
8,PS1J1113+0104,168.48749999999998,1.0680555555555555,3.0
9,PS1J0919+0336,139.77083333333331,3.6108333333333333,3.0
10,PS1J0353-1706,58.44166666666666,-17.110833333333336,3.0
11,PS1J0324-1020,51.20416666666666,-10.348055555555556,3.0
12,PS1J0211-1938,32.75416666666666,-19.63611111111111,3.0
13,PS1J0141-1713,25.275,-17.223333333333333,3.0
14,PS1J2348+0148,357.18749999999994,1.8097222222222222,2.75
15,PS1J2336-0207,354.04166666666663,-2.126388888888889,2.75
16,PS1J2248-0103,342.00416666666666,-1.05,2.75
17,PS1J2247+1801,341.8333333333333,18.022499999999997,2.75
18,PS1J2233+3012,338.39166666666665,30.20638888888889,2.75
19,PS1J2202+0614,330.71666666666664,6.247222222222223,2.75
20,PS1J2200-1024,330.1958333333333,-10.4075,2.75
21,PS1J1926-2138,291.57499999999993,-21.63888888888889,2.75
22,PS1J1749+2330,267.29999999999995,23.51,2.75
23,PS1J1655+0406,253.7875,4.10361111111111,2.75
24,PS1J1644+1121,251.03333333333333,11.358333333333333,2.75
25,PS1J1555+4151,238.825,41.86083333333333,2.75
26,PS1J1553-0142,238.4083333333333,-1.7094444444444443,2.75
27,PS1J1445+3649,221.475,36.83027777777778,2.75
28,PS1J1439+0721,219.90416666666667,7.3502777777777775,2.75
