,Unnamed: 0,Names,RA,DEC,Classification,Tile,X,Y,band_nb,bands_list
318,625,,354.0927734375,4.634406566619873,,706.189,tbd,tbd,1,u
319,626,,354.1046142578125,6.272417068481445,,704.193,tbd,tbd,1,u
320,627,,348.0295715332031,4.583842277526856,,694.189,tbd,tbd,1,u
321,628,,341.8125305175781,6.23471736907959,,680.192,tbd,tbd,1,u
322,629,,6.210553646087647,4.668637275695801,,012.189,tbd,tbd,1,u
323,630,,7.214962959289551,6.352964878082275,,014.193,tbd,tbd,1,u
324,631,,12.241037368774414,4.874332427978516,,024.190,tbd,tbd,1,u
325,632,,12.29672908782959,5.199207305908203,,025.190,tbd,tbd,1,u
326,633,,12.423267364501951,6.254316806793213,,025.193,tbd,tbd,1,u
327,634,,12.743558883666992,6.655801773071289,,025.193,tbd,tbd,1,u
328,635,,13.02912712097168,6.399062633514404,,026.193,tbd,tbd,1,u
329,636,,15.4610595703125,6.323830604553223,,031.193,tbd,tbd,1,u
330,637,,22.827369689941406,5.680813789367676,,045.191,tbd,tbd,1,u
331,638,,24.40932846069336,6.199718952178955,,049.192,tbd,tbd,1,u
332,639,,17.589874267578125,7.058976650238037,,035.194,tbd,tbd,1,u
333,640,,18.04309844970703,6.182116508483887,,036.192,tbd,tbd,1,u
334,641,,20.10187149047852,6.823163986206055,,040.194,tbd,tbd,1,u
335,642,,115.76083374023438,32.14226150512695,,196.244,tbd,tbd,3,urg
336,643,,112.46356964111328,32.621463775634766,,190.245,tbd,tbd,2,ug
337,644,,129.27401733398438,31.223329544067383,,222.242,tbd,tbd,3,urg
338,645,,129.20025634765625,31.505430221557617,,220.243,tbd,tbd,3,urg
339,646,,129.52491760253906,31.42708969116211,,221.243,tbd,tbd,3,urg
340,647,,128.57528686523438,33.82123565673828,,213.248,tbd,tbd,3,urg
341,648,,124.09810638427734,28.472749710083008,,218.237,tbd,tbd,1,u
